# file 57 v1.1 (prior-SFMC-unsub split of email-action send rate), run 2026-09-04, Teradata-direct, Cards MNEs, decisions window 2025-01-01+, unsub lookback 2024-01-01+, grain client x tactic. Block 3: cube mne x cohort_month x prior_unsub_flag. Rows 46-48 (PCD 202501 PRIOR_UNSUB, PCD 202502 NO_PRIOR_UNSUB, PCD 202502 PRIOR_UNSUB) NOT photographed - flagged placeholders below.
mne	cohort_yyyymm	prior_unsub_flag	decisions	distinct_clients	decisions_sent
PCQ	202501	NO_PRIOR_UNSUB	490930	490930	469694
PCQ	202501	PRIOR_UNSUB	14078	14078	6497
PCQ	202502	NO_PRIOR_UNSUB	532844	532844	510650
PCQ	202502	PRIOR_UNSUB	16969	16969	7984
PCQ	202503	NO_PRIOR_UNSUB	505766	505744	484464
PCQ	202503	PRIOR_UNSUB	16490	16490	7700
PCQ	202504	NO_PRIOR_UNSUB	518856	518855	497720
PCQ	202504	PRIOR_UNSUB	17145	17145	11042
PCQ	202505	NO_PRIOR_UNSUB	520138	513796	492397
PCQ	202505	PRIOR_UNSUB	17877	17690	12080
PCQ	202506	NO_PRIOR_UNSUB	489067	489067	467406
PCQ	202506	PRIOR_UNSUB	17832	17832	11344
PCQ	202507	NO_PRIOR_UNSUB	467131	467129	440471
PCQ	202507	PRIOR_UNSUB	18195	18195	6435
PCQ	202508	NO_PRIOR_UNSUB	462068	462068	441917
PCQ	202508	PRIOR_UNSUB	18375	18375	6259
PCQ	202509	NO_PRIOR_UNSUB	467051	467051	446783
PCQ	202509	PRIOR_UNSUB	20127	20127	11537
PCQ	202510	NO_PRIOR_UNSUB	493322	493322	472650
PCQ	202510	PRIOR_UNSUB	22169	22169	6720
PCQ	202511	NO_PRIOR_UNSUB	532637	532637	510701
PCQ	202511	PRIOR_UNSUB	25047	25047	7048
PCQ	202512	NO_PRIOR_UNSUB	541829	541829	519820
PCQ	202512	PRIOR_UNSUB	26159	26159	13346
PCQ	202601	NO_PRIOR_UNSUB	510547	510547	490372
PCQ	202601	PRIOR_UNSUB	26066	26066	12944
PCQ	202602	NO_PRIOR_UNSUB	565645	565645	538423
PCQ	202602	PRIOR_UNSUB	28703	28703	13358
PCQ	202603	NO_PRIOR_UNSUB	565182	565182	542841
PCQ	202603	PRIOR_UNSUB	29862	29862	13288
PCQ	202604	NO_PRIOR_UNSUB	583967	569051	560624
PCQ	202604	PRIOR_UNSUB	31074	30428	13279
PCQ	202605	NO_PRIOR_UNSUB	210330	210330	202258
PCQ	202605	PRIOR_UNSUB	11871	11871	4712
PCQ	202606	NO_PRIOR_UNSUB	895611	683735	844649
PCQ	202606	PRIOR_UNSUB	50367	38280	19410
PCQ	202607	NO_PRIOR_UNSUB	546245	546245	515905
PCQ	202607	PRIOR_UNSUB	30936	30936	11511
PCQ	202608	NO_PRIOR_UNSUB	548083	548083	513025
PCQ	202608	PRIOR_UNSUB	31798	31798	11114
